# venue: binance
# source: https://fapi.binance.com/fapi/v1/fundingRate
# fetched_at: 2026-08-10T17:53:40Z
# caveat: Historical funding from the source venue (public, free). Cross-venue proxy for Coinbase-INTX funding; rates correlate but are not identical. ts=epoch seconds UTC. OI not available historically.
ts,coin,venue,funding_rate,funding_annualized,mark_price,open_interest,source
1604044800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604073600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604102400,AAVE,binance,-0.00014932,-0.1635054,,,https://fapi.binance.com/fapi/v1/fundingRate
1604131200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604160000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604188800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604217600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604246400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604275200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604304000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604332800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604361600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604390400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604419200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604448000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604476800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604505600,AAVE,binance,-8.107e-05,-0.08877165,,,https://fapi.binance.com/fapi/v1/fundingRate
1604534400,AAVE,binance,-0.00061505,-0.67347975,,,https://fapi.binance.com/fapi/v1/fundingRate
1604563200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604592000,AAVE,binance,-0.00028575,-0.31289625,,,https://fapi.binance.com/fapi/v1/fundingRate
1604620800,AAVE,binance,-0.00017203,-0.18837284999999998,,,https://fapi.binance.com/fapi/v1/fundingRate
1604649600,AAVE,binance,-0.00048021,-0.52582995,,,https://fapi.binance.com/fapi/v1/fundingRate
1604678400,AAVE,binance,-0.00191406,-2.0958957,,,https://fapi.binance.com/fapi/v1/fundingRate
1604707200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604736000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604764800,AAVE,binance,5.106e-05,0.0559107,,,https://fapi.binance.com/fapi/v1/fundingRate
1604793600,AAVE,binance,8.488e-05,0.0929436,,,https://fapi.binance.com/fapi/v1/fundingRate
1604822400,AAVE,binance,-0.00093738,-1.0264311,,,https://fapi.binance.com/fapi/v1/fundingRate
1604851200,AAVE,binance,-0.00129378,-1.4166891,,,https://fapi.binance.com/fapi/v1/fundingRate
1604880000,AAVE,binance,-0.00033943,-0.37167585,,,https://fapi.binance.com/fapi/v1/fundingRate
1604908800,AAVE,binance,-0.00147,-1.60965,,,https://fapi.binance.com/fapi/v1/fundingRate
1604937600,AAVE,binance,-1.829e-05,-0.020027549999999998,,,https://fapi.binance.com/fapi/v1/fundingRate
1604966400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1604995200,AAVE,binance,-0.0009943,-1.0887585,,,https://fapi.binance.com/fapi/v1/fundingRate
1605024000,AAVE,binance,-0.00242341,-2.65363395,,,https://fapi.binance.com/fapi/v1/fundingRate
1605052800,AAVE,binance,-0.00067921,-0.74373495,,,https://fapi.binance.com/fapi/v1/fundingRate
1605081600,AAVE,binance,0.00043106,0.4720107,,,https://fapi.binance.com/fapi/v1/fundingRate
1605110400,AAVE,binance,0.00027496,0.3010812,,,https://fapi.binance.com/fapi/v1/fundingRate
1605139200,AAVE,binance,0.0005446,0.596337,,,https://fapi.binance.com/fapi/v1/fundingRate
1605168000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605196800,AAVE,binance,0.00024665,0.27008175,,,https://fapi.binance.com/fapi/v1/fundingRate
1605225600,AAVE,binance,0.00058356,0.6389982,,,https://fapi.binance.com/fapi/v1/fundingRate
1605254400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605283200,AAVE,binance,-0.00131245,-1.43713275,,,https://fapi.binance.com/fapi/v1/fundingRate
1605312000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605340800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605369600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605398400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605427200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605456000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605484800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605513600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605542400,AAVE,binance,0.00025503,0.27925785000000003,,,https://fapi.binance.com/fapi/v1/fundingRate
1605571200,AAVE,binance,0.00027783,0.30422385,,,https://fapi.binance.com/fapi/v1/fundingRate
1605600000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605628800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605657600,AAVE,binance,0.00074348,0.8141106,,,https://fapi.binance.com/fapi/v1/fundingRate
1605686400,AAVE,binance,0.00017696,0.1937712,,,https://fapi.binance.com/fapi/v1/fundingRate
1605715200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605744000,AAVE,binance,0.00030363,0.33247485,,,https://fapi.binance.com/fapi/v1/fundingRate
1605772800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605801600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1605830400,AAVE,binance,0.00045133,0.49420635,,,https://fapi.binance.com/fapi/v1/fundingRate
1605859200,AAVE,binance,0.00057549,0.63016155,,,https://fapi.binance.com/fapi/v1/fundingRate
1605888000,AAVE,binance,0.00213233,2.33490135,,,https://fapi.binance.com/fapi/v1/fundingRate
1605916800,AAVE,binance,0.00062703,0.68659785,,,https://fapi.binance.com/fapi/v1/fundingRate
1605945600,AAVE,binance,0.00023804,0.2606538,,,https://fapi.binance.com/fapi/v1/fundingRate
1605974400,AAVE,binance,0.00198385,2.17231575,,,https://fapi.binance.com/fapi/v1/fundingRate
1606003200,AAVE,binance,0.00145524,1.5934878,,,https://fapi.binance.com/fapi/v1/fundingRate
1606032000,AAVE,binance,0.00047611,0.5213404500000001,,,https://fapi.binance.com/fapi/v1/fundingRate
1606060800,AAVE,binance,0.00040694,0.44559930000000003,,,https://fapi.binance.com/fapi/v1/fundingRate
1606089600,AAVE,binance,0.00121651,1.33207845,,,https://fapi.binance.com/fapi/v1/fundingRate
1606118400,AAVE,binance,0.0018096,1.981512,,,https://fapi.binance.com/fapi/v1/fundingRate
1606147200,AAVE,binance,0.0016063,1.7588985,,,https://fapi.binance.com/fapi/v1/fundingRate
1606176000,AAVE,binance,0.00280074,3.0668102999999998,,,https://fapi.binance.com/fapi/v1/fundingRate
1606204800,AAVE,binance,0.00262415,2.87344425,,,https://fapi.binance.com/fapi/v1/fundingRate
1606233600,AAVE,binance,0.0008118,0.888921,,,https://fapi.binance.com/fapi/v1/fundingRate
1606262400,AAVE,binance,0.00206393,2.26000335,,,https://fapi.binance.com/fapi/v1/fundingRate
1606291200,AAVE,binance,0.00112287,1.22954265,,,https://fapi.binance.com/fapi/v1/fundingRate
1606320000,AAVE,binance,0.00261532,2.8637753999999997,,,https://fapi.binance.com/fapi/v1/fundingRate
1606348800,AAVE,binance,0.00116627,1.2770656500000002,,,https://fapi.binance.com/fapi/v1/fundingRate
1606377600,AAVE,binance,-0.00010665,-0.11678175,,,https://fapi.binance.com/fapi/v1/fundingRate
1606406400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606435200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606464000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606492800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606521600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606550400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606579200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606608000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606636800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606665600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606694400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606723200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606752000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606780800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606809600,AAVE,binance,0.00060967,0.66758865,,,https://fapi.binance.com/fapi/v1/fundingRate
1606838400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606867200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606896000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606924800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606953600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1606982400,AAVE,binance,0.00035094,0.3842793,,,https://fapi.binance.com/fapi/v1/fundingRate
1607011200,AAVE,binance,0.00038542,0.4220349,,,https://fapi.binance.com/fapi/v1/fundingRate
1607040000,AAVE,binance,0.00015746,0.1724187,,,https://fapi.binance.com/fapi/v1/fundingRate
1607068800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607097600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607126400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607155200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607184000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607212800,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607241600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607270400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607299200,AAVE,binance,0.00010641,0.11651895000000001,,,https://fapi.binance.com/fapi/v1/fundingRate
1607328000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607356800,AAVE,binance,0.00031162,0.34122389999999997,,,https://fapi.binance.com/fapi/v1/fundingRate
1607385600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607414400,AAVE,binance,0.00030986,0.3392967,,,https://fapi.binance.com/fapi/v1/fundingRate
1607443200,AAVE,binance,0.00020517,0.22466114999999998,,,https://fapi.binance.com/fapi/v1/fundingRate
1607472000,AAVE,binance,0.00014752,0.1615344,,,https://fapi.binance.com/fapi/v1/fundingRate
1607500800,AAVE,binance,0.00012549,0.13741155,,,https://fapi.binance.com/fapi/v1/fundingRate
1607529600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607558400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607587200,AAVE,binance,0.00019,0.20805,,,https://fapi.binance.com/fapi/v1/fundingRate
1607616000,AAVE,binance,0.00024107,0.26397165,,,https://fapi.binance.com/fapi/v1/fundingRate
1607644800,AAVE,binance,0.00046315,0.50714925,,,https://fapi.binance.com/fapi/v1/fundingRate
1607673600,AAVE,binance,0.00052401,0.57379095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607702400,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607731200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607760000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607788800,AAVE,binance,0.00019496,0.21348119999999998,,,https://fapi.binance.com/fapi/v1/fundingRate
1607817600,AAVE,binance,0.00027247,0.29835465000000005,,,https://fapi.binance.com/fapi/v1/fundingRate
1607846400,AAVE,binance,0.00026135,0.28617824999999997,,,https://fapi.binance.com/fapi/v1/fundingRate
1607875200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607904000,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1607932800,AAVE,binance,0.00026983,0.29546385,,,https://fapi.binance.com/fapi/v1/fundingRate
1607961600,AAVE,binance,0.00030252,0.33125940000000004,,,https://fapi.binance.com/fapi/v1/fundingRate
1607990400,AAVE,binance,0.00017917,0.19619115,,,https://fapi.binance.com/fapi/v1/fundingRate
1608019200,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1608048000,AAVE,binance,0.0002335,0.25568250000000003,,,https://fapi.binance.com/fapi/v1/fundingRate
1608076800,AAVE,binance,0.00033811,0.37023045,,,https://fapi.binance.com/fapi/v1/fundingRate
1608105600,AAVE,binance,0.0001,0.1095,,,https://fapi.binance.com/fapi/v1/fundingRate
1608134400,AAVE,binance,0.00045549,0.49876155,,,https://fapi.binance.com/fapi/v1/fundingRate
1608163200,AAVE,binance,0.00044349,0.48562155,,,https://fapi.binance.com/fapi/v1/fundingRate
1608192000,AAVE,binance,0.00057209,0.62643855,,,https://fapi.binance.com/fapi/v1/fundingRate
1608220800,AAVE,binance,0.00177903,1.94803785,,,https://fapi.binance.com/fapi/v1/fundingRate
1608249600,AAVE,binance,0.00027643,0.30269084999999996,,,https://fapi.binance.com/fapi/v1/fundingRate
1608278400,AAVE,binance,0.00030601,0.33508095,,,https://fapi.binance.com/fapi/v1/fundingRate
1608307200,AAVE,binance,0.00079291,0.8682364499999999,,,https://fapi.binance.com/fapi/v1/fundingRate
1608336000,AAVE,binance,0.00105352,1.1536044,,,https://fapi.binance.com/fapi/v1/fundingRate
1608364800,AAVE,binance,0.00049279,0.53960505,,,https://fapi.binance.com/fapi/v1/fundingRate
1608393600,AAVE,binance,0.00053468,0.5854746000000001,,,https://fapi.binance.com/fapi/v1/fundingRate
1608422400,AAVE,binance,0.00087777,0.96115815,,,https://fapi.binance.com/fapi/v1/fundingRate
1608451200,AAVE,binance,0.00049818,0.5455071,,,https://fapi.binance.com/fapi/v1/fundingRate
1608480000,AAVE,binance,0.0005669,0.6207554999999999,,,https://fapi.binance.com/fapi/v1/fundingRate
1608508800,AAVE,binance,0.00033642,0.3683799,,,https://fapi.binance.com/fapi/v1/fundingRate
