ts,product_id,open,high,low,close,volume
1786924800,BTC-USD,62836.67,62887.8,62679.42,62840.55,117.97967557
1786924800,ETH-USD,1874.1,1878.14,1870.47,1876.77,1514.27283433
1786924800,SOL-USD,74.54,74.67,74.36,74.55,14741.86176666
1786924800,XRP-USD,0.9925,0.9932,0.9873,0.9926,2162723.131952
1786924800,DOGE-USD,0.0695,0.06973,0.06938,0.06968,2808893.7
1786924800,ADA-USD,0.17472,0.17574,0.17366,0.17568,2856786.65664732
1786924800,AVAX-USD,6.322,6.336,6.286,6.302,22782.86974021
1786924800,LINK-USD,9.38,9.41,9.348,9.397,37380.21
1786924800,DOT-USD,0.7577,0.7628,0.7562,0.7613,58293.15456044
1786924800,LTC-USD,44.1,44.15,44.04,44.1,4522.58908237
1786924800,BCH-USD,203.8,204.52,203.4,203.83,300.14056568
1786924800,NEAR-USD,1.6006,1.606,1.5987,1.6043,26015.893
1786924800,ATOM-USD,1.455,1.459,1.451,1.453,34963.68
1786924800,UNI-USD,3.2707,3.2749,3.2548,3.2687,35353.670331
1786924800,APT-USD,0.517,0.5216,0.5169,0.5216,45827.313
1786924800,ARB-USD,0.0735,0.07384,0.07335,0.07372,458397.98
1786924800,OP-USD,0.08336,0.08361,0.08296,0.08355,440566.35
1786924800,SUI-USD,0.6701,0.6711,0.6668,0.6695,653545.7
1786924800,INJ-USD,4.075,4.086,4.064,4.074,4317.74
1786924800,AAVE-USD,85.89,86.02,85.56,85.91,598.627
1786924800,ENA-USD,0.0823,0.08246,0.08205,0.08245,715747.4
1786924800,HBAR-USD,0.06461,0.06467,0.06424,0.06461,1554319.9
1786924800,ONDO-USD,0.33019,0.33238,0.32833,0.33032,181851.42
1786924800,PAXG-USD,4362.92,4394.06,4360.99,4393.66,103.84163
1786924800,PEPE-USD,2.57e-06,2.57e-06,2.55e-06,2.57e-06,42812827252
1786924800,SHIB-USD,4.43e-06,4.43e-06,4.39e-06,4.41e-06,8847781823
1786924800,XLM-USD,0.156168,0.156469,0.155776,0.156352,3248585.00228262
1786924800,ZEC-USD,485.73,486.67,484.46,485.48,494.68061192
1786924800,BNB-USD,602.24,602.24,600.51,602,128.37407
1786924800,HYPE-USD,57.13,57.33,57.03,57.3,8735.091
1786928400,BTC-USD,62840.55,63174,62821.98,63042.04,296.34531693
1786928400,ETH-USD,1876.59,1895.26,1875.88,1889.57,3555.89701637
1786928400,SOL-USD,74.54,75.27,74.51,75.02,21149.05724191
1786928400,XRP-USD,0.9923,1.0005,0.9921,0.9977,1697613.46473
1786928400,DOGE-USD,0.0697,0.07018,0.0697,0.06992,3107098.6
1786928400,ADA-USD,0.17562,0.17667,0.17552,0.17571,1848882.17592544
1786932000,ADA-USD,0.17572,0.17696,0.17496,0.17683,2638436.45785846
