ts,product_id,open,high,low,close,volume
1786233600,BTC-USD,64908.71,64939.18,64895.3,64922.7,157.4263466
1786237200,BTC-USD,64922.71,64957.62,64787.87,64806.28,145.62982457
1786233600,ETH-USD,1915.37,1917.2,1914.88,1916.51,882.07962682
1786237200,ETH-USD,1916.48,1918.72,1911.9,1914.74,615.87881057
1786233600,SOL-USD,75.94,75.99,75.8,75.96,13089.8044977
1786237200,SOL-USD,75.96,76.03,75.69,75.81,10380.91694637
1786233600,XRP-USD,1.0387,1.0399,1.0368,1.0388,540292.759033
1786237200,XRP-USD,1.0388,1.04,1.0346,1.0351,859519.828403
1786233600,DOGE-USD,0.07036,0.07042,0.07024,0.07036,962074.6
1786237200,DOGE-USD,0.07033,0.07047,0.0699,0.06995,3788639.4
1786233600,ADA-USD,0.19928,0.19942,0.19778,0.19857,3561722.12633173
1786237200,ADA-USD,0.19857,0.19963,0.19832,0.19888,1859165.17152748
1786233600,AVAX-USD,6.475,6.482,6.452,6.482,18020.08190932
1786237200,AVAX-USD,6.479,6.488,6.468,6.475,17676.84379576
1786233600,LINK-USD,8.301,8.32,8.3,8.317,31146.32
1786237200,LINK-USD,8.316,8.327,8.297,8.3,88949.13
1786233600,DOT-USD,0.8145,0.8155,0.8132,0.8141,28303.50955353
1786237200,DOT-USD,0.8143,0.8152,0.8113,0.8146,54127.40035724
1786233600,LTC-USD,45.98,46.14,45.95,46.08,4742.86169192
1786237200,LTC-USD,46.08,46.13,45.98,46.05,3061.58273521
1786233600,BCH-USD,215.94,216.89,215.88,216.6,109.75910121
1786237200,BCH-USD,216.8,217.13,215.41,215.6,78.87351425
1786233600,NEAR-USD,1.6091,1.6229,1.6088,1.6211,232260.03
1786237200,NEAR-USD,1.6211,1.6264,1.6064,1.6144,62867.491
1786233600,ATOM-USD,1.385,1.385,1.382,1.384,4734.35
1786237200,ATOM-USD,1.384,1.388,1.38,1.38,5135.26
1786233600,UNI-USD,4.0025,4.0025,3.9848,3.9857,9775.827227
1786237200,UNI-USD,3.9853,3.9945,3.9622,3.9801,18698.035873
1786233600,APT-USD,0.6037,0.61,0.6031,0.6069,38888.117
1786237200,APT-USD,0.6074,0.6089,0.6043,0.6051,69960.79
1786233600,ARB-USD,0.0781,0.0783,0.078,0.0782,293438.64
1786237200,ARB-USD,0.0782,0.0782,0.0779,0.0781,42052.84
1786233600,OP-USD,0.089,0.089,0.089,0.089,67647.27
1786237200,OP-USD,0.089,0.089,0.089,0.089,155868.19
1786233600,SUI-USD,0.6916,0.6927,0.6889,0.6906,245994.6
1786237200,SUI-USD,0.6903,0.6916,0.6872,0.6891,138729.9
1786233600,INJ-USD,4.409,4.439,4.395,4.434,4286.94
1786237200,INJ-USD,4.435,4.441,4.399,4.399,2225.69
1786233600,AAVE-USD,91.11,91.31,90.8,90.95,1134.562
1786237200,AAVE-USD,90.93,91.02,90.68,90.81,228.206
1786233600,ENA-USD,0.09016,0.09044,0.08977,0.08986,1333827.2
1786237200,ENA-USD,0.0899,0.09007,0.08946,0.08963,1028491.2
1786233600,HBAR-USD,0.0689,0.06905,0.06882,0.06884,607064.4
1786237200,HBAR-USD,0.06884,0.06906,0.06882,0.06886,475942.2
1786233600,ONDO-USD,0.35175,0.35196,0.34839,0.35032,1672197.32
1786237200,ONDO-USD,0.35024,0.3506,0.34571,0.34768,985124.49
1786233600,PAXG-USD,4342.99,4347.34,4341.14,4342.59,6.44055
1786237200,PAXG-USD,4342,4342.35,4339.78,4341.39,1.1466
1786233600,PEPE-USD,2.85e-06,2.86e-06,2.84e-06,2.86e-06,1170942959
1786237200,PEPE-USD,2.85e-06,2.86e-06,2.84e-06,2.84e-06,3202999021
1786233600,SHIB-USD,4.61e-06,4.64e-06,4.61e-06,4.63e-06,2618279342
1786237200,SHIB-USD,4.63e-06,4.64e-06,4.6e-06,4.61e-06,4722514991
1786233600,XLM-USD,0.164349,0.164758,0.163856,0.16428,2384752.79355311
1786237200,XLM-USD,0.164308,0.164528,0.163346,0.163584,886941.13679441
1786233600,ZEC-USD,507.66,508.74,504.48,507.76,1140.05129399
1786237200,ZEC-USD,507.86,514.56,507.42,512.56,790.40783942
