ts,product_id,open,high,low,close,volume
1786406400,BTC-USD,63911.88,63993.82,63816.65,63972.01,197.07262088
1786410000,BTC-USD,63971.29,64013.98,63882.16,63987.01,147.90278299
1786406400,ETH-USD,1871.4,1874.28,1869.14,1873.5,1381.15299959
1786410000,ETH-USD,1873.3,1877,1871.44,1876.18,926.18349563
1786406400,SOL-USD,75.93,75.97,75.71,75.81,21137.71467132
1786410000,SOL-USD,75.81,76.04,75.65,76.03,23800.11435503
1786406400,XRP-USD,1.0113,1.0125,1.0091,1.0121,1986389.889642
1786410000,XRP-USD,1.0119,1.0155,1.0101,1.0149,1353972.576671
1786406400,DOGE-USD,0.06964,0.06983,0.06954,0.06981,1877968.9
1786410000,DOGE-USD,0.06981,0.07003,0.06971,0.06995,1063574.4
1786406400,ADA-USD,0.1907,0.19072,0.18884,0.19012,3576987.80276741
1786410000,ADA-USD,0.19011,0.19124,0.18997,0.191,2055302.325226
1786406400,AVAX-USD,6.43,6.477,6.426,6.471,27763.39622143
1786410000,AVAX-USD,6.47,6.53,6.465,6.519,53912.3776998
1786406400,LINK-USD,8.292,8.33,8.283,8.324,40709.52
1786410000,LINK-USD,8.325,8.454,8.315,8.426,189499.51
1786406400,DOT-USD,0.8047,0.8059,0.8018,0.8028,142627.0640854
1786410000,DOT-USD,0.8028,0.8117,0.8017,0.8094,188297.95870107
1786406400,LTC-USD,45.1,45.16,45.03,45.11,3494.54494922
1786410000,LTC-USD,45.1,45.24,45.06,45.24,3395.30345267
1786406400,BCH-USD,213.06,214.42,212.8,214.42,222.77955943
1786410000,BCH-USD,214.42,215.01,214.15,214.88,199.613277
1786406400,NEAR-USD,1.5976,1.6107,1.5954,1.6096,180759.435
1786410000,NEAR-USD,1.6091,1.6116,1.6,1.6087,115899.03
1786406400,ATOM-USD,1.397,1.404,1.392,1.402,25918.92
1786410000,ATOM-USD,1.402,1.406,1.397,1.403,9943.89
1786406400,UNI-USD,3.942,3.9425,3.9315,3.941,77875.775859
1786410000,UNI-USD,3.9401,3.9734,3.9372,3.9728,66552.929911
1786406400,APT-USD,0.5879,0.5895,0.5865,0.5875,27145.487
1786410000,APT-USD,0.5882,0.5896,0.5862,0.5896,28466.527
1786406400,ARB-USD,0.0799,0.081,0.0797,0.0808,354513.68
1786410000,ARB-USD,0.0808,0.0819,0.0808,0.0811,714449.03
1786406400,OP-USD,0.092,0.092,0.091,0.091,124.1
1786410000,OP-USD,0.091,0.093,0.091,0.093,73798.3
1786406400,SUI-USD,0.6833,0.686,0.6827,0.6855,117700
1786410000,SUI-USD,0.6854,0.6885,0.6843,0.6884,153873.5
1786406400,INJ-USD,4.378,4.43,4.378,4.379,25350.36
1786410000,INJ-USD,4.376,4.4,4.355,4.4,7466.69
1786406400,AAVE-USD,89.16,89.3,89,89.12,921.978
1786410000,AAVE-USD,89.12,89.4,88.74,89.34,539.432
1786406400,ENA-USD,0.08791,0.08871,0.08787,0.0885,1962259.1
1786410000,ENA-USD,0.08848,0.09074,0.08828,0.0906,4098557.8
1786406400,HBAR-USD,0.06755,0.06759,0.06739,0.06757,770303.6
1786410000,HBAR-USD,0.06758,0.06763,0.06733,0.06743,1661827.6
1786406400,ONDO-USD,0.33963,0.34355,0.33654,0.33819,998802.08
1786410000,ONDO-USD,0.33811,0.34197,0.33792,0.34154,523217
1786406400,PAXG-USD,4394.06,4411.81,4389.34,4398.72,39.99096
1786410000,PAXG-USD,4400.21,4425,4388.79,4420.87,9.36971
1786406400,PEPE-USD,2.87e-06,2.88e-06,2.87e-06,2.88e-06,1691007891
1786410000,PEPE-USD,2.88e-06,2.89e-06,2.87e-06,2.88e-06,9287325171
1786406400,SHIB-USD,4.5e-06,4.51e-06,4.48e-06,4.49e-06,9554252728
1786410000,SHIB-USD,4.49e-06,4.5e-06,4.48e-06,4.5e-06,5624412024
1786406400,XLM-USD,0.16135,0.161822,0.16108,0.161697,788224.76395988
1786410000,XLM-USD,0.161697,0.16268,0.161544,0.16241,1574346.15711084
1786406400,ZEC-USD,495.53,496.69,494.02,495.03,683.47076851
1786410000,ZEC-USD,494.99,495.02,489.17,492.03,1831.12632921
