ts,product_id,funding_rate,open_interest,mark_price,index_price,basis
1785715200,BTC-PERP-INTX,1.2e-05,1976.1435,63336.45,63319.65,0.00026532
1785715200,ETH-PERP-INTX,0.0,28695.225,1876.175,1876.0,9.328e-05
1785715200,SOL-PERP-INTX,7e-06,160666.315,73.3705,73.37,6.81e-06
1785715200,XRP-PERP-INTX,6e-06,4590337.0,1.08305,1.083,4.617e-05
1785715200,DOGE-PERP-INTX,8e-06,15537221.0,0.07055,0.07054,0.00014176
1785715200,ADA-PERP-INTX,1.7e-05,2274870.0,0.18865,0.1886,0.00026511
1785715200,AVAX-PERP-INTX,3e-06,56326.363,6.5145,6.52,-0.00084356
1785715200,LINK-PERP-INTX,2.5e-05,92936.11,8.364,8.363,0.00011957
1785715200,DOT-PERP-INTX,-3.8e-05,241957.8,0.795,0.795,0.0
1785715200,LTC-PERP-INTX,1.5e-05,14007.69,44.645,44.64,0.00011201
1785715200,BCH-PERP-INTX,1.6e-05,3127.791,212.495,212.47,0.00011766
1785715200,NEAR-PERP-INTX,9e-06,585001.8,1.7149,1.715,-5.831e-05
1785715200,ATOM-PERP-INTX,8e-06,16645.6,1.2645,1.266,-0.00118483
1785715200,UNI-PERP-INTX,7e-06,124663.35,4.0975,4.099,-0.00036594
1785715200,APT-PERP-INTX,7e-06,83090.1,0.56005,0.561,-0.0016934
1785715200,ARB-PERP-INTX,-5e-06,1373965.1,0.08153,0.0816,-0.00085784
1785715200,OP-PERP-INTX,2.1e-05,414488.5,0.0862,0.087,-0.0091954
1785715200,SUI-PERP-INTX,1.2e-05,901808.7,0.68725,0.6872,7.276e-05
1785715200,INJ-PERP-INTX,-1.2e-05,16654.3,5.061,5.062,-0.00019755
1785715200,AAVE-PERP-INTX,1e-05,7411.76,91.585,91.56,0.00027304
1785715200,ENA-PERP-INTX,-3e-06,3966419.0,0.088935,0.089,-0.00073034
1785715200,HBAR-PERP-INTX,2e-06,4668447.0,0.069815,0.06982,-7.161e-05
1785715200,ONDO-PERP-INTX,2.5e-05,538714.0,0.3737,0.37308,0.00166184
1785715200,1000PEPE-PERP-INTX,1.7e-05,110251063.0,0.0028925,0.00289,0.00086505
1785715200,1000SHIB-PERP-INTX,-1.8e-05,16975186.0,0.0048855,0.00489,-0.00092025
1785715200,XLM-PERP-INTX,3e-06,1635345.0,0.173915,0.1739,8.626e-05
1785715200,ZEC-PERP-INTX,1.8e-05,1782.3,483.825,483.6,0.00046526
1785726000,BTC-PERP-INTX,1.2e-05,2076.5591,62864.85,62847.16,0.00028148
1785726000,ETH-PERP-INTX,0.0,28422.7652,1856.785,1856.87,-4.578e-05
1785726000,SOL-PERP-INTX,5e-06,159825.302,72.8735,72.87,4.803e-05
1785726000,XRP-PERP-INTX,7e-06,4586974.0,1.07065,1.0707,-4.67e-05
1785726000,DOGE-PERP-INTX,8e-06,15962262.0,0.069795,0.0698,-7.163e-05
1785726000,ADA-PERP-INTX,1.5e-05,2040470.0,0.18535,0.1854,-0.00026969
1785726000,AVAX-PERP-INTX,-2e-06,58032.765,6.4205,6.42,7.788e-05
1785726000,LINK-PERP-INTX,1.6e-05,94223.79,8.251,8.248,0.00036372
1785726000,DOT-PERP-INTX,-7.9e-05,247239.3,0.7885,0.789,-0.00063371
1785726000,LTC-PERP-INTX,6e-06,14026.51,44.395,44.39,0.00011264
1785726000,BCH-PERP-INTX,1.2e-05,3142.619,210.725,210.58,0.00068857
1785726000,NEAR-PERP-INTX,1.7e-05,593986.3,1.7015,1.701,0.00029394
1785726000,ATOM-PERP-INTX,-9e-06,16370.9,1.2565,1.258,-0.00119237
1785726000,UNI-PERP-INTX,5e-06,122298.22,4.122,4.123,-0.00024254
1785726000,APT-PERP-INTX,1e-05,107533.6,0.5573,0.5579,-0.00107546
1785726000,ARB-PERP-INTX,6e-06,1384504.8,0.08064,0.0806,0.00049628
1785726000,OP-PERP-INTX,2.8e-05,405049.0,0.0856,0.086,-0.00465116
1785726000,SUI-PERP-INTX,7e-06,901715.9,0.6861,0.6861,0.0
1785726000,INJ-PERP-INTX,-1.7e-05,18619.3,5.025,5.024,0.00019904
1785726000,AAVE-PERP-INTX,8e-06,7485.51,91.745,91.71,0.00038164
1785726000,ENA-PERP-INTX,-7e-06,4288646.0,0.08797,0.088,-0.00034091
1785726000,HBAR-PERP-INTX,4e-06,4684065.0,0.069265,0.06927,-7.218e-05
1785726000,ONDO-PERP-INTX,2.6e-05,513948.0,0.3725,0.37224,0.00069847
1785726000,1000PEPE-PERP-INTX,1.3e-05,119394470.0,0.0028535,0.00286,-0.00227273
1785726000,1000SHIB-PERP-INTX,-2.8e-05,17421412.0,0.004846,0.00485,-0.00082474
1785726000,XLM-PERP-INTX,2e-06,1616663.0,0.171085,0.171073,7.015e-05
1785726000,ZEC-PERP-INTX,1.5e-05,1793.91,475.97,475.57,0.0008411
1785740400,BTC-PERP-INTX,1.2e-05,2130.8183,62549.25,62537.37,0.00018997
1785740400,ETH-PERP-INTX,0.0,28416.0072,1842.785,1842.7,4.613e-05
1785740400,SOL-PERP-INTX,9e-06,158662.195,72.5325,72.52,0.00017237
1785740400,XRP-PERP-INTX,1e-05,4396021.0,1.06815,1.0679,0.0002341
1785740400,DOGE-PERP-INTX,7e-06,15108337.0,0.06924,0.06923,0.00014445
1785740400,ADA-PERP-INTX,2.5e-05,2033692.0,0.1837,0.1836,0.00054466
1785740400,AVAX-PERP-INTX,-7e-06,57499.15,6.3895,6.39,-7.825e-05
1785740400,LINK-PERP-INTX,2e-06,94134.18,8.228,8.226,0.00024313
1785740400,DOT-PERP-INTX,-8e-05,245055.6,0.7935,0.794,-0.00062972
1785740400,LTC-PERP-INTX,1.2e-05,14242.01,44.285,44.29,-0.00011289
1785740400,BCH-PERP-INTX,2.2e-05,3156.334,209.99,209.93,0.00028581
1785740400,NEAR-PERP-INTX,1.7e-05,600066.9,1.7064,1.706,0.00023447
1785740400,ATOM-PERP-INTX,-1.2e-05,16436.1,1.2725,1.274,-0.00117739
1785740400,UNI-PERP-INTX,8e-06,121932.25,4.0805,4.082,-0.00036747
1785740400,APT-PERP-INTX,8e-06,108049.5,0.5565,0.5571,-0.00107701
1785740400,ARB-PERP-INTX,5e-06,1383724.8,0.08037,0.0804,-0.00037313
1785740400,OP-PERP-INTX,3.6e-05,417954.7,0.0854,0.086,-0.00697674
1785740400,SUI-PERP-INTX,1.4e-05,907145.1,0.68495,0.685,-7.299e-05
1785740400,INJ-PERP-INTX,-1.6e-05,22379.3,4.928,4.93,-0.00040568
1785740400,AAVE-PERP-INTX,1.2e-05,7425.61,91.52,91.46,0.00065602
1785740400,ENA-PERP-INTX,4e-06,3961955.0,0.087985,0.088,-0.00017045
1785740400,HBAR-PERP-INTX,9e-06,4657264.0,0.06917,0.06916,0.00014459
1785740400,ONDO-PERP-INTX,8e-06,500039.0,0.37185,0.37198,-0.00034948
1785740400,1000PEPE-PERP-INTX,1.4e-05,111341788.0,0.002832,0.00284,-0.0028169
1785740400,1000SHIB-PERP-INTX,-3.7e-05,17367699.0,0.0048375,0.00484,-0.00051653
1785740400,XLM-PERP-INTX,1.3e-05,1622551.0,0.17062,0.170704,-0.00049208
